Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0060740~prostate gland epithelium morphogenesis	4	0.16142050040355124	0.005361642443661898	NOTCH1, ESR1, IGF1, SHH	189	26	13588	11.06064306064306	0.9994756625146538	0.9771015833441216	8.480517050534765
GOTERM_BP_5	GO:0060740~prostate gland epithelium morphogenesis	4	0.16142050040355124	0.005372817683019518	NOTCH1, ESR1, IGF1, SHH	171	26	12272	11.04093567251462	0.9901698995431054	0.9901698995431054	8.00680132041489
GOTERM_BP_ALL	GO:0006357~regulation of transcription from RNA polymerase II promoter	18	0.7263922518159807	0.005373786437576073	TXNIP, ABLIM1, ELF2, TNF, CEBPG, IGF1, SPEN, MECOM, SHH, STAT3, PKNOX2, NOTCH1, HIPK1, TRAK1, SMARCAL1, SKIL, LCOR, NFIB	198	616	14219	2.0984356552538372	0.9997385983223933	0.9997385983223933	8.584002438960269
GOTERM_BP_ALL	GO:0060740~prostate gland epithelium morphogenesis	4	0.16142050040355124	0.005385015711114359	NOTCH1, ESR1, IGF1, SHH	198	26	14219	11.04817404817405	0.9997430778249531	0.9839712079355011	8.601191756472538
GOTERM_BP_4	GO:0022612~gland morphogenesis	6	0.24213075060532688	0.005493709821242587	NOTCH1, TNF, CSF1, ESR1, IGF1, SHH	178	84	13138	5.27207062600321	0.9842066825363996	0.9842066825363996	8.04660795459008
GOTERM_BP_4	GO:0060512~prostate gland morphogenesis	4	0.16142050040355124	0.005544134150766343	NOTCH1, ESR1, IGF1, SHH	178	27	13138	10.934665002080731	0.9847983090047353	0.8767048622399702	8.117579447237866
GOTERM_BP_FAT	GO:0060512~prostate gland morphogenesis	4	0.16142050040355124	0.005971160836114705	NOTCH1, ESR1, IGF1, SHH	189	27	13588	10.650989613952577	0.9997783982269172	0.9394857376627009	9.400616333647417
GOTERM_BP_5	GO:0060512~prostate gland morphogenesis	4	0.16142050040355124	0.005983626059622262	NOTCH1, ESR1, IGF1, SHH	171	27	12272	10.632012129088153	0.9941969551732068	0.9238222812970014	8.878071293100243
GOTERM_BP_ALL	GO:0060512~prostate gland morphogenesis	4	0.16142050040355124	0.005997068819687232	NOTCH1, ESR1, IGF1, SHH	198	27	14219	10.638982416760195	0.9998998812935702	0.9535657527117467	9.533515723099095
GOTERM_MF_2	GO:0003700~transcription factor activity	21	0.847457627118644	0.006029319881447495	ELF2, CEBPG, ESR1, NFYB, SPEN, EN2, RHOX4G, STAT3, ATF2, BATF, PKNOX2, GATA1, NOTCH1, PA2G4, GCM1, MRPL28, ZSCAN21, ZFP354A, GBX1, LCOR, NFIB	210	776	14988	1.9314432989690724	0.23363219662805534	0.1245756438321215	5.500868418217064
PANTHER_BP_ALL	BP00248:Mesoderm development	15	0.6053268765133172	0.006059461733838935	DVL2, EVC, SCUBE3, FLT4, CEBPG, CSF1, MYH6, GATA1, NCK2, EPHA7, COL14A1, BGLAP-RS1, CD34, SKIL, PCSK6	177	533	14343	2.2805037046459122	0.5781312607323575	0.5781312607323575	6.936813806064768
GOTERM_BP_3	GO:0022612~gland morphogenesis	6	0.24213075060532688	0.006128962098795656	NOTCH1, TNF, CSF1, ESR1, IGF1, SHH	187	84	13451	5.137891520244462	0.9318877296964944	0.9318877296964944	8.318867318910627
GOTERM_BP_4	GO:0042127~regulation of cell proliferation	16	0.645682001614205	0.006143682272569293	TNF, FLT4, CSF1, ESR1, ANXA1, IGF1, MECOM, SHH, BTLA, NOTCH2, CBLB, NOTCH1, FCGR2B, HIPK1, NUPR1, NFIB	178	538	13138	2.1950628628712248	0.9903467646936935	0.7870761562543304	8.957521811886938
GOTERM_BP_FAT	GO:0022612~gland morphogenesis	6	0.24213075060532688	0.006145284493855619	NOTCH1, TNF, CSF1, ESR1, IGF1, SHH	189	84	13588	5.135298563869992	0.9998267480182877	0.8852719656757857	9.66186489067421
GOTERM_BP_5	GO:0022612~gland morphogenesis	6	0.24213075060532688	0.006155543022187992	NOTCH1, TNF, CSF1, ESR1, IGF1, SHH	171	84	12272	5.126148705096074	0.9949973026554785	0.8289716615650917	9.12190160658637
GOTERM_BP_ALL	GO:0022612~gland morphogenesis	6	0.24213075060532688	0.006189086735575801	NOTCH1, TNF, CSF1, ESR1, IGF1, SHH	198	84	14219	5.12950937950938	0.9999255167032508	0.9071002120388045	9.824164314755224
GOTERM_BP_4	GO:0043068~positive regulation of programmed cell death	10	0.40355125100887806	0.006787315779881024	NOTCH2, NUDT2, NOTCH1, EPHA7, TNF, NUPR1, TM2D1, HIPK1, CEBPG, BNIP3L	178	250	13138	2.9523595505617974	0.9940732076883175	0.7225370961248296	9.851237984171934
GOTERM_BP_4	GO:0001763~morphogenesis of a branching structure	7	0.2824858757062147	0.00688238349197647	NOTCH1, EPHA7, GCM1, CSF1, ESR1, IGF1, SHH	178	125	13138	4.133303370786517	0.9944853702947426	0.6465701135534989	9.98254716191278
GOTERM_BP_4	GO:0010942~positive regulation of cell death	10	0.40355125100887806	0.007154604805722101	NOTCH2, NUDT2, NOTCH1, EPHA7, TNF, NUPR1, TM2D1, HIPK1, CEBPG, BNIP3L	178	252	13138	2.928928125557339	0.9955139480409442	0.5938896574976414	10.357556184455818
GOTERM_BP_5	GO:0043065~positive regulation of apoptosis	10	0.40355125100887806	0.007661144230768097	NOTCH2, NUDT2, NOTCH1, EPHA7, TNF, NUPR1, TM2D1, HIPK1, CEBPG, BNIP3L	171	248	12272	2.8937936238445574	0.9986376858554786	0.8078814428004113	11.231373780076414
GOTERM_BP_FAT	GO:0043065~positive regulation of apoptosis	10	0.40355125100887806	0.007680663115995484	NOTCH2, NUDT2, NOTCH1, EPHA7, TNF, NUPR1, TM2D1, HIPK1, CEBPG, BNIP3L	189	248	13588	2.8989588667008017	0.9999802624452085	0.8854332298430204	11.935055450818922
GOTERM_BP_ALL	GO:0043065~positive regulation of apoptosis	10	0.40355125100887806	0.007731391655417025	NOTCH2, NUDT2, NOTCH1, EPHA7, TNF, NUPR1, TM2D1, HIPK1, CEBPG, BNIP3L	198	248	14219	2.895690778755295	0.9999930914802512	0.9071296674478816	12.127045644339141
GOTERM_BP_3	GO:0001763~morphogenesis of a branching structure	7	0.2824858757062147	0.007790140957745684	NOTCH1, EPHA7, GCM1, CSF1, ESR1, IGF1, SHH	187	125	13451	4.028106951871657	0.9672096437545497	0.8189189235578429	10.460151503512238
GOTERM_BP_3	GO:0042127~regulation of cell proliferation	16	0.645682001614205	0.007791227603898615	TNF, FLT4, CSF1, ESR1, ANXA1, IGF1, MECOM, SHH, BTLA, NOTCH2, CBLB, NOTCH1, FCGR2B, HIPK1, NUPR1, NFIB	187	538	13451	2.1391964693954635	0.9672253332326584	0.679978299754991	10.461536868871345
GOTERM_BP_FAT	GO:0001763~morphogenesis of a branching structure	7	0.2824858757062147	0.007814029944412056	NOTCH1, EPHA7, GCM1, CSF1, ESR1, IGF1, SHH	189	125	13588	4.0260740740740735	0.9999836589601472	0.840700914901793	12.129952981237702
GOTERM_BP_FAT	GO:0042127~regulation of cell proliferation	16	0.645682001614205	0.007843108035545138	TNF, FLT4, CSF1, ESR1, ANXA1, IGF1, MECOM, SHH, BTLA, NOTCH2, CBLB, NOTCH1, FCGR2B, HIPK1, NUPR1, NFIB	189	538	13588	2.1381168741763537	0.9999843181710512	0.7941133905080553	12.172392833612399
GOTERM_BP_ALL	GO:0001763~morphogenesis of a branching structure	7	0.2824858757062147	0.007878926622557656	NOTCH1, EPHA7, GCM1, CSF1, ESR1, IGF1, SHH	198	125	14219	4.021535353535353	0.9999944980504455	0.8671322948619923	12.344415128609775
GOTERM_BP_ALL	GO:0042127~regulation of cell proliferation	16	0.645682001614205	0.00799594890062608	TNF, FLT4, CSF1, ESR1, ANXA1, IGF1, MECOM, SHH, BTLA, NOTCH2, CBLB, NOTCH1, FCGR2B, HIPK1, NUPR1, NFIB	198	538	14219	2.1357065074537194	0.9999954071170167	0.8272409653283486	12.516469439256584
GOTERM_BP_5	GO:0043068~positive regulation of programmed cell death	10	0.40355125100887806	0.008060457971989735	NOTCH2, NUDT2, NOTCH1, EPHA7, TNF, NUPR1, TM2D1, HIPK1, CEBPG, BNIP3L	171	250	12272	2.870643274853801	0.9990354956156497	0.7506204475288147	11.783110293762755
GOTERM_BP_FAT	GO:0043068~positive regulation of programmed cell death	10	0.40355125100887806	0.00808910521812441	NOTCH2, NUDT2, NOTCH1, EPHA7, TNF, NUPR1, TM2D1, HIPK1, CEBPG, BNIP3L	189	250	13588	2.8757671957671955	0.9999889315224942	0.7598342980921895	12.53065925789112
GOTERM_BP_ALL	GO:0043068~positive regulation of programmed cell death	10	0.40355125100887806	0.00816260930162093	NOTCH2, NUDT2, NOTCH1, EPHA7, TNF, NUPR1, TM2D1, HIPK1, CEBPG, BNIP3L	198	250	14219	2.8725252525252527	0.9999964488461561	0.7916487137455948	12.760957272956242
GOTERM_BP_3	GO:0010942~positive regulation of cell death	10	0.40355125100887806	0.008439053378551994	NOTCH2, NUDT2, NOTCH1, EPHA7, TNF, NUPR1, TM2D1, HIPK1, CEBPG, BNIP3L	187	252	13451	2.8543841779135892	0.9753632360396383	0.6038169275655207	11.28391396150904
GOTERM_BP_5	GO:0010942~positive regulation of cell death	10	0.40355125100887806	0.008471855000579563	NOTCH2, NUDT2, NOTCH1, EPHA7, TNF, NUPR1, TM2D1, HIPK1, CEBPG, BNIP3L	171	252	12272	2.8478603917200407	0.9993243375440422	0.7037750524543274	12.348186270654438
GOTERM_BP_FAT	GO:0010942~positive regulation of cell death	10	0.40355125100887806	0.00847555147361928	NOTCH2, NUDT2, NOTCH1, EPHA7, TNF, NUPR1, TM2D1, HIPK1, CEBPG, BNIP3L	189	252	13588	2.85294364659444	0.9999935980047238	0.7351963739805063	13.090702523977548
GOTERM_BP_ALL	GO:0010942~positive regulation of cell death	10	0.40355125100887806	0.008594163739280302	NOTCH2, NUDT2, NOTCH1, EPHA7, TNF, NUPR1, TM2D1, HIPK1, CEBPG, BNIP3L	198	252	14219	2.8497274330607665	0.9999981760941589	0.7696789660073834	13.391058644053622
GOTERM_BP_4	GO:0043067~regulation of programmed cell death	16	0.645682001614205	0.008743601867979862	TRAF2, NUDT2, TNF, TM2D1, CEBPG, ESR1, IGF1, NOTCH2, NOTCH1, EPHA7, G2E3, HIPK1, NUPR1, BNIP3L, TPT1, SKIL	178	560	13138	2.108828250401284	0.9986570475090356	0.6112029600120872	12.517574724688584
GOTERM_BP_4	GO:0051252~regulation of RNA metabolic process	32	1.29136400322841	0.008894069644914683	ABLIM1, TNF, ELF2, NFYB, RHOX4G, SHH, ATF2, BATF, GATA1, ZSCAN21, TRAK1, ZFP354A, GBX1, SKIL, TXNIP, CIITA, CEBPG, ESR1, IGF1, ZFP59, EN2, SPEN, MECOM, STAT3, PKNOX2, PA2G4, NOTCH1, GCM1, HIPK1, SMARCAL1, LCOR, NFIB	178	1488	13138	1.587290080947203	0.9988021117421584	0.5686775747786739	12.71957391428069
GOTERM_BP_4	GO:0002009~morphogenesis of an epithelium	8	0.3228410008071025	0.008980400192781558	DVL2, NOTCH2, NOTCH1, CSF1, VANGL2, ESR1, IGF1, SHH	178	173	13138	3.4131324283951416	0.9988781634740593	0.5298738623785068	12.835273662283143
GOTERM_BP_4	GO:0010941~regulation of cell death	16	0.645682001614205	0.009157547400229962	TRAF2, NUDT2, TNF, TM2D1, CEBPG, ESR1, IGF1, NOTCH2, NOTCH1, EPHA7, G2E3, HIPK1, NUPR1, BNIP3L, TPT1, SKIL	178	563	13138	2.097591154928453	0.999019453832167	0.4997964096535541	13.072236851489894
GOTERM_BP_FAT	GO:0046636~negative regulation of alpha-beta T cell activation	3	0.12106537530266344	0.009647249544353335	BTLA, CBLB, SHH	189	11	13588	19.607503607503606	0.9999987842999154	0.7438569098050021	14.76822562133252
GOTERM_BP_ALL	GO:0046636~negative regulation of alpha-beta T cell activation	3	0.12106537530266344	0.009674578201955383	BTLA, CBLB, SHH	198	11	14219	19.585399449035815	0.9999996564363965	0.7742640573035775	14.949834381744665
GOTERM_BP_5	GO:0042981~regulation of apoptosis	16	0.645682001614205	0.009892159311703261	TRAF2, NUDT2, TNF, TM2D1, CEBPG, ESR1, IGF1, NOTCH2, NOTCH1, EPHA7, G2E3, HIPK1, NUPR1, BNIP3L, TPT1, SKIL	171	553	12272	2.0764146653553714	0.9998024919712363	0.7043364262057451	14.273135114641612
GOTERM_BP_FAT	GO:0042981~regulation of apoptosis	16	0.645682001614205	0.009951634006653722	TRAF2, NUDT2, TNF, TM2D1, CEBPG, ESR1, IGF1, NOTCH2, NOTCH1, EPHA7, G2E3, HIPK1, NUPR1, BNIP3L, TPT1, SKIL	189	553	13588	2.080120937263794	0.9999992106712403	0.7212561680512293	15.199009792624995
GOTERM_BP_ALL	GO:0042981~regulation of apoptosis	16	0.645682001614205	0.010139288785790217	TRAF2, NUDT2, TNF, TM2D1, CEBPG, ESR1, IGF1, NOTCH2, NOTCH1, EPHA7, G2E3, HIPK1, NUPR1, BNIP3L, TPT1, SKIL	198	553	14219	2.077775951193673	0.9999998325338388	0.7579007915310649	15.612154949874213
GOTERM_BP_5	GO:0002009~morphogenesis of an epithelium	8	0.3228410008071025	0.010218037894284082	DVL2, NOTCH2, NOTCH1, CSF1, VANGL2, ESR1, IGF1, SHH	171	173	12272	3.318662745495724	0.9998510909959109	0.6676351254024377	14.709187449946038
GOTERM_BP_5	GO:0006355~regulation of transcription, DNA-dependent	32	1.29136400322841	0.010323936657433145	ABLIM1, TNF, ELF2, NFYB, RHOX4G, SHH, ATF2, BATF, GATA1, ZSCAN21, TRAK1, ZFP354A, GBX1, SKIL, TXNIP, CIITA, CEBPG, ESR1, IGF1, ZFP59, EN2, SPEN, MECOM, STAT3, PKNOX2, PA2G4, NOTCH1, GCM1, HIPK1, SMARCAL1, LCOR, NFIB	171	1465	12272	1.5675867712512226	0.9998641527148631	0.6281746495353517	14.850441436331751
GOTERM_BP_FAT	GO:0002009~morphogenesis of an epithelium	8	0.3228410008071025	0.010364690627180883	DVL2, NOTCH2, NOTCH1, CSF1, VANGL2, ESR1, IGF1, SHH	189	173	13588	3.3245863534880877	0.9999995608317402	0.7047300534874912	15.78032357481417
GOTERM_BP_ALL	GO:0002009~morphogenesis of an epithelium	8	0.3228410008071025	0.010432287771592299	DVL2, NOTCH2, NOTCH1, CSF1, VANGL2, ESR1, IGF1, SHH	198	173	14219	3.320838442225726	0.9999998935646359	0.7376241677356568	16.027251324301606
GOTERM_BP_FAT	GO:0006355~regulation of transcription, DNA-dependent	32	1.29136400322841	0.010611568495178275	ABLIM1, TNF, ELF2, NFYB, RHOX4G, SHH, ATF2, BATF, GATA1, ZSCAN21, TRAK1, ZFP354A, GBX1, SKIL, TXNIP, CIITA, CEBPG, ESR1, IGF1, ZFP59, EN2, SPEN, MECOM, STAT3, PKNOX2, PA2G4, NOTCH1, GCM1, HIPK1, SMARCAL1, LCOR, NFIB	189	1465	13588	1.5703848168011991	0.9999996906904037	0.6843098508434211	16.12597687653755
GOTERM_BP_ALL	GO:0006355~regulation of transcription, DNA-dependent	32	1.29136400322841	0.01101293105931931	ABLIM1, TNF, ELF2, NFYB, RHOX4G, SHH, ATF2, BATF, GATA1, ZSCAN21, TRAK1, ZFP354A, GBX1, SKIL, TXNIP, CIITA, CEBPG, ESR1, IGF1, ZFP59, EN2, SPEN, MECOM, STAT3, PKNOX2, PA2G4, NOTCH1, GCM1, HIPK1, SMARCAL1, LCOR, NFIB	198	1465	14219	1.5686144723687385	0.9999999566659954	0.7286047656066714	16.844194021625157
GOTERM_BP_5	GO:0043067~regulation of programmed cell death	16	0.645682001614205	0.011015325487727183	TRAF2, NUDT2, TNF, TM2D1, CEBPG, ESR1, IGF1, NOTCH2, NOTCH1, EPHA7, G2E3, HIPK1, NUPR1, BNIP3L, TPT1, SKIL	171	560	12272	2.050459482038429	0.9999254162912956	0.6133977319852271	15.767291858601507
GOTERM_BP_FAT	GO:0043067~regulation of programmed cell death	16	0.645682001614205	0.011078210216019365	TRAF2, NUDT2, TNF, TM2D1, CEBPG, ESR1, IGF1, NOTCH2, NOTCH1, EPHA7, G2E3, HIPK1, NUPR1, BNIP3L, TPT1, SKIL	189	560	13588	2.054119425547997	0.9999998405830867	0.673060990477282	16.775684334200637
GOTERM_BP_ALL	GO:0043067~regulation of programmed cell death	16	0.645682001614205	0.01128389037480072	TRAF2, NUDT2, TNF, TM2D1, CEBPG, ESR1, IGF1, NOTCH2, NOTCH1, EPHA7, G2E3, HIPK1, NUPR1, BNIP3L, TPT1, SKIL	198	560	14219	2.051803751803752	0.999999971513736	0.7109017967915269	17.222861403812107
GOTERM_BP_3	GO:0060525~prostate glandular acinus development	3	0.12106537530266344	0.011459262614340472	NOTCH1, ESR1, IGF1	187	12	13451	17.982620320855617	0.993504275712264	0.6348044166368885	15.026087775205955
GOTERM_BP_4	GO:0070664~negative regulation of leukocyte proliferation	4	0.16142050040355124	0.011469142077710033	BTLA, CBLB, FCGR2B, SHH	178	35	13138	8.435313001605136	0.9998310945076335	0.545997206895876	16.10970960444732
GOTERM_BP_FAT	GO:0060525~prostate glandular acinus development	3	0.12106537530266344	0.011472090132956582	NOTCH1, ESR1, IGF1	189	12	13588	17.973544973544975	0.9999999089133967	0.6606637153735542	17.32040292317547
GOTERM_BP_5	GO:0060525~prostate glandular acinus development	3	0.12106537530266344	0.011493638413525461	NOTCH1, ESR1, IGF1	171	12	12272	17.941520467836256	0.999950752516262	0.5941191608600231	16.396169037944798
GOTERM_BP_ALL	GO:0060525~prostate glandular acinus development	3	0.12106537530266344	0.011504397850560571	NOTCH1, ESR1, IGF1	198	12	14219	17.953282828282827	0.9999999797544686	0.6930351754715887	17.52982516436593
GOTERM_BP_3	GO:0010941~regulation of cell death	16	0.645682001614205	0.011517711922635114	TRAF2, NUDT2, TNF, TM2D1, CEBPG, ESR1, IGF1, NOTCH2, NOTCH1, EPHA7, G2E3, HIPK1, NUPR1, BNIP3L, TPT1, SKIL	187	563	13451	2.0442055071665353	0.9936699701137996	0.569901798267555	15.097040382740246
GOTERM_BP_FAT	GO:0010941~regulation of cell death	16	0.645682001614205	0.01159079059177695	TRAF2, NUDT2, TNF, TM2D1, CEBPG, ESR1, IGF1, NOTCH2, NOTCH1, EPHA7, G2E3, HIPK1, NUPR1, BNIP3L, TPT1, SKIL	189	563	13588	2.043173851344366	0.99999992305499	0.6407586838811421	17.48390258339152
GOTERM_BP_ALL	GO:0010941~regulation of cell death	16	0.645682001614205	0.011804552983141349	TRAF2, NUDT2, TNF, TM2D1, CEBPG, ESR1, IGF1, NOTCH2, NOTCH1, EPHA7, G2E3, HIPK1, NUPR1, BNIP3L, TPT1, SKIL	198	563	14219	2.0408705168918315	0.9999999872825157	0.6789851851205881	17.945945532646824
GOTERM_BP_FAT	GO:0032945~negative regulation of mononuclear cell proliferation	4	0.16142050040355124	0.01232589562656332	BTLA, CBLB, FCGR2B, SHH	189	35	13588	8.216477702191987	0.9999999729478074	0.6412140403615396	18.489701573219108
GOTERM_BP_FAT	GO:0070664~negative regulation of leukocyte proliferation	4	0.16142050040355124	0.01232589562656332	BTLA, CBLB, FCGR2B, SHH	189	35	13588	8.216477702191987	0.9999999729478074	0.6412140403615396	18.489701573219108
GOTERM_BP_FAT	GO:0050672~negative regulation of lymphocyte proliferation	4	0.16142050040355124	0.01232589562656332	BTLA, CBLB, FCGR2B, SHH	189	35	13588	8.216477702191987	0.9999999729478074	0.6412140403615396	18.489701573219108
GOTERM_BP_5	GO:0050672~negative regulation of lymphocyte proliferation	4	0.16142050040355124	0.012351920416828968	BTLA, CBLB, FCGR2B, SHH	171	35	12272	8.201837928153717	0.9999766273550812	0.5887944303237236	17.51362488370287
GOTERM_BP_5	GO:0070664~negative regulation of leukocyte proliferation	4	0.16142050040355124	0.012351920416828968	BTLA, CBLB, FCGR2B, SHH	171	35	12272	8.201837928153717	0.9999766273550812	0.5887944303237236	17.51362488370287
GOTERM_BP_5	GO:0032945~negative regulation of mononuclear cell proliferation	4	0.16142050040355124	0.012351920416828968	BTLA, CBLB, FCGR2B, SHH	171	35	12272	8.201837928153717	0.9999766273550812	0.5887944303237236	17.51362488370287
GOTERM_BP_ALL	GO:0070664~negative regulation of leukocyte proliferation	4	0.16142050040355124	0.012377380074801957	BTLA, CBLB, FCGR2B, SHH	198	35	14219	8.207215007215009	0.999999994765633	0.6742575466116283	18.73461344569022
GOTERM_BP_ALL	GO:0050672~negative regulation of lymphocyte proliferation	4	0.16142050040355124	0.012377380074801957	BTLA, CBLB, FCGR2B, SHH	198	35	14219	8.207215007215009	0.999999994765633	0.6742575466116283	18.73461344569022
GOTERM_BP_ALL	GO:0032945~negative regulation of mononuclear cell proliferation	4	0.16142050040355124	0.012377380074801957	BTLA, CBLB, FCGR2B, SHH	198	35	14219	8.207215007215009	0.999999994765633	0.6742575466116283	18.73461344569022
GOTERM_BP_5	GO:0051252~regulation of RNA metabolic process	32	1.29136400322841	0.012753608386086503	ABLIM1, TNF, ELF2, NFYB, RHOX4G, SHH, ATF2, BATF, GATA1, ZSCAN21, TRAK1, ZFP354A, GBX1, SKIL, TXNIP, CIITA, CEBPG, ESR1, IGF1, ZFP59, EN2, SPEN, MECOM, STAT3, PKNOX2, PA2G4, NOTCH1, GCM1, HIPK1, SMARCAL1, LCOR, NFIB	171	1488	12272	1.543356599383764	0.9999835135843208	0.5713659830111171	18.031796022657176
GOTERM_BP_4	GO:0060442~branching involved in prostate gland morphogenesis	3	0.12106537530266344	0.012769261912891206	ESR1, IGF1, SHH	178	13	13138	17.03284356093345	0.9999373014181632	0.5535513886279575	17.77421900620726
